HEADER ROW IS IGNORED,,,,,,,,,,,,,,,,,,
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,C1,C1,C1,C1,C1,C1,C1,C1,W,C2,C2,C2,C2,C2,C2,C2,C2,W
W,C1,C1,C1,C1,C1,C1,C1,C1,W,C2,C2,C2,C2,C2,C2,C2,C2,W
W,C1,C1,C1,C1,C1,C1,C1,C1,W,C2,C2,C2,C2,C2,C2,C2,C2,W
W,C1,C1,C1,C1,C1,C1,C1,C1,W,C2,C2,C2,C2,C2,C2,C2,C2,W
W,C1,C1,C1,C1,C1,C1,C1,C1,W,C2,C2,C2,C2,C2,C2,C2,C2,W
W,C1,C1,C1,C1,C1,C1,C1,C1,W,C2,C2,C2,C2,C2,C2,C2,C2,W
W,C1,C1,C1,C1 P1R2,C1,C1,C1,C1,W,C2,C2,C2,C2 P2L2,C2,C2,C2,C2,W
W,C1,C1,C1,C1,C1,C1,C1,C1,W,C2,C2,C2,C2,C2,C2,C2,C2,W
W,C1,C1,C1,C1,C1,C1,C1,C1,W,C2,C2,C2,C2,C2,C2,C2,C2,W
W,C1,C1,C1,C1,C1,C1,C1,C1,W,C2,C2,C2,C2,C2,C2,C2,C2,W
W,C1,C1,C1,C1,C1,C1,C1,C1,W,C2,C2,C2,C2,C2,C2,C2,C2,W
W,C1,C1,C1,C1,C1 F,C1,C1,C1,W,C2,C2,C2,C2,C2,C2,C2,C2,W
W,C1,C1,C1,C1,C1,C1,C1,C1,W,C2,C2,C2,C2,C2,C2,C2,C2,W
W,C1,C1,C1,C1,C1,C1,C1,C1,W,C2,C2,C2,C2,C2,C2,C2,C2,W
W,C1,C1,C1,C1,C1,C1,C1,C1,W,C2,C2,C2,C2,C2,C2,C2,C2,W
W,C1,C1,C1,C1,C1,C1,C1,C1,W,C2,C2,C2,C2,C2,C2,C2,C2,W
W,C1,C1,C1,C1,C1,C1,C1,C1,W,C2,C2,C2,C2,C2,C2,C2,C2,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
